Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
MSFT,2022-02-28,294.3100,299.1400,293.0000,298.7900,291.2500,34627500
MSFT,2022-02-25,295.1400,297.6300,291.6500,297.3100,289.8100,32546721
MSFT,2022-02-24,272.5100,295.1600,271.5200,294.5900,287.1600,56989700
MSFT,2022-02-23,290.1800,291.7000,280.1000,280.2700,273.2000,37811200
MSFT,2022-02-22,285.0000,291.5400,284.5000,287.7200,280.4600,41736117
MSFT,2022-02-18,293.0500,293.8600,286.3100,287.9300,280.6700,34264008
MSFT,2022-02-17,296.3600,296.8000,290.0000,290.7300,283.4000,32461600
MSFT,2022-02-16,298.3700,300.8700,293.6800,299.5000,291.9500,29982121
MSFT,2022-02-15,300.0100,300.8000,297.0200,300.4700,292.2900,27379488
MSFT,2022-02-14,293.7700,296.7600,291.3500,295.0000,286.9700,36359500
MSFT,2022-02-11,303.1900,304.2900,294.2200,295.0400,287.0100,39175620
MSFT,2022-02-10,304.0400,309.1200,300.7000,302.3800,294.1500,45386200
MSFT,2022-02-09,309.8700,311.9300,307.3900,311.2100,302.7400,31284700
MSFT,2022-02-08,301.2500,305.5600,299.9500,304.5600,296.2700,32421200
MSFT,2022-02-07,306.1700,307.8400,299.9000,300.9500,292.7600,28533300
MSFT,2022-02-04,300.2100,308.8000,299.9700,305.9400,297.6100,35096500
MSFT,2022-02-03,309.4900,311.2300,299.9600,301.2500,293.0500,43730000
MSFT,2022-02-02,309.6300,315.1200,308.8800,313.4600,304.9200,36636000
MSFT,2022-02-01,310.4100,310.6300,305.1300,308.7600,300.3500,40950400
MSFT,2022-01-31,308.9500,312.3800,306.3700,310.9800,302.5100,46444536
MSFT,2022-01-28,300.2300,308.4800,294.4500,308.2600,299.8700,49743700
MSFT,2022-01-27,302.6600,307.3000,297.9300,299.8400,291.6800,53481317
MSFT,2022-01-26,307.9900,308.5000,293.0300,296.7100,288.6300,90428900
MSFT,2022-01-25,291.5200,294.9900,285.1700,288.4900,280.6300,72848638
MSFT,2022-01-24,292.2000,297.1100,276.0500,296.3700,288.3000,86035393
MSFT,2022-01-21,302.6900,304.1100,295.6100,296.0300,287.9700,57984403
MSFT,2022-01-20,309.0700,311.6500,301.1400,301.6000,293.3900,35380700
MSFT,2022-01-19,306.2900,313.9100,302.7000,303.3300,295.0700,45933900
MSFT,2022-01-18,304.0700,309.8000,301.7400,302.6500,294.4100,42434112
MSFT,2022-01-14,304.2500,310.8200,303.7500,310.2000,301.7500,39846414
MSFT,2022-01-13,320.4700,320.8800,304.0000,304.8000,296.5000,45366000
MSFT,2022-01-12,319.6700,323.4100,317.0800,318.2700,309.6000,34372217
MSFT,2022-01-11,313.3800,316.6100,309.8900,314.9800,306.4000,29386800
MSFT,2022-01-10,309.4900,314.7200,304.6900,314.2700,305.7100,44289500
MSFT,2022-01-07,314.1500,316.5000,310.0900,314.0400,305.4900,32720018
MSFT,2022-01-06,313.1500,318.7000,311.4900,313.8800,305.3300,39646148
